,category,description,photo,price,productName
10,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/pl_lampy-azzardo,111.html"" title=""Azzardo"">Azzardo</a></p><p><strong>Kolor:</strong> czarny</p>
<p><strong>Wykonanie:</strong> Metal</p>
<p><strong>Źródło światła:</strong> 5 x E27 max 60W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 134 cm</p>
<p>Średnica: 47 cm</p>
<p>Wysokość klosza: 14 cm</p>
<p>W ofercie CudowneLampy.pl znajdziecie Państwo <a href=""lampy-wiszace.html"">nowoczesne lampy</a>, najmodniejsze wzory i nakorzystniejsze ceny!</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-fan-azzardo-flm02-bk-az2532.jpg,494.00,Lampa wisząca FAN Azzardo FLM02-BK AZ2532
11,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/zuma-line.html"" title=""Zuma Line"">Zuma Line</a></p><p><strong>Wykonanie:</strong> metal, szkło</p>
<p>Kolor: srebrny, przezroczysty</p>
<p><strong>Źródło światła:</strong> 5 x G9 max 42W - nie w komplecie</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: 32 - 142 cm</p>
<p>Średnica: 50 cm</p>
<p>Klasa energetyczna: E - A++</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-froze-zuma-line-p0509-05d-b5ac.jpg,899.00,Lampa wisząca FROZE  Zuma Line P0509-05D-B5AC
12,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/zuma-line.html"" title=""Zuma Line"">Zuma Line</a></p><p><strong>Wykonanie:</strong> metal, szkło</p>
<p>Kolor: srebrny, przezroczysty</p>
<p><strong>Źródło światła:</strong> 1 x G9 max 42 W - nie w komplecie</p>
<p>Wysokość: 32 - 142 cm</p>
<p>Średnica: 17 cm</p>
<p>Klasa energetyczna: E - A++</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-froze-zuma-line-p0509-01d-f4ac.jpg,199.00,Lampa wisząca FROZE Zuma Line P0509-01D-F4AC
13,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/zuma-line.html"" title=""Zuma Line"">Zuma Line</a></p><p><strong>Wykonanie:</strong> metal, szkło</p>
<p>Kolor: srebrny, przezroczysty</p>
<p><strong>Źródło światła:</strong> 3 x G9 max 42 W - nie w komplecie</p>
<p>Wysokość: 32 - 142 cm</p>
<p>Średnica: 39 cm</p>
<p>Klasa energetyczna: E - A++</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-froze-zuma-line-p0509-03d-b5ac.jpg,499.00,Lampa wisząca FROZE Zuma Line P0509-03D-B5AC
14,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/zuma-line.html"" title=""Zuma Line"">Zuma Line</a></p><p><strong>Wykonanie:</strong> metal, szkło</p>
<p>Kolor: srebrny, przezroczysty</p>
<p><strong>Źródło światła:</strong> 4 x G9 max 42 W - nie w komplecie</p>
<p>Wysokość: 32 - 142 cm</p>
<p>Średnica: 17 cm</p>
<p>Klasa energetyczna: E - A++</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-froze-zuma-line-p0509-04c-b5ac.jpg,899.00,Lampa wisząca FROZE Zuma Line P0509-04C-B5AC
15,lampy-wiszace,"<p><strong>Produkt:</strong> Lampa wisząca FUNK Nordlux 75453256</p>
<p>Kolor: zielony</p>
<p><strong>Wykonanie:</strong> szkło, tworzywo</p>
<p><strong>Źródło światła:</strong> 1 x E27 max 60W - nie w komplecie</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 200 cm</p>
<p>Średnica klosza: 27 cm</p>
<p>Wysokość klosza: 29,5 cm</p>
<p><strong>Nowa, w oryginalnym opakowaniu</strong></p>",https://www.cudownelampy.pl/files/lampa-wiszaca-funk-zielona-nordlux-75453256.jpg,299.00,Lampa wisząca FUNK zielona Nordlux 75453256
16,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/italux.html"" title=""Italux"">Italux</a></p><p><strong>Wykonanie:</strong> Metal, szkło</p>
<p><strong>Kolor do wyboru:</strong></p>
<p>- dymiony</p>
<p>- bursztynowy</p>
<p><strong>Źródło światła:</strong> 1 x E27 max 40W - nie w komplecie</p>
<p>Klasa energetyczna: G - A</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 89,2 cm</p>
<p>Średnica: 22 cm</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-hatella-italux-pnd-112038-1-kolor-do-wyboru.jpg,231.00,Lampa wisząca HATELLA Italux PND-112038-1 kolor do wyboru
17,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/italux.html"" title=""Italux"">Italux</a></p><p><strong>Wykonanie:</strong> Metal, szkło</p>
<p><strong>Kolor do wyboru:</strong></p>
<p>- dymiony</p>
<p>- bursztynowy</p>
<p><strong>Źródło światła:</strong> 3 x E27 max 40W - nie w komplecie</p>
<p>Klasa energetyczna: G - A</p>
<p><strong>Wymiary:</strong></p>
<p>Szerokość: 83 cm</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-hatella-italux-pnd-112038-3-kolor-do-wyboru.jpg,730.00,Lampa wisząca HATELLA Italux PND-112038-3  kolor do wyboru
18,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/italux.html"" title=""Italux"">Italux</a></p><p><strong>Wykonanie:</strong> Metal, szkło</p>
<p><strong>Kolor do wyboru:</strong></p>
<p>- dymiony</p>
<p>- bursztynowy</p>
<p><strong>Źródło światła:</strong> 3 x E27 max 40W - nie w komplecie</p>
<p>Klasa energetyczna: G - A</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: max 122 cm</p>
<p>Średnica: 48 cm</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-hatella-italux-pnd-112038-3a-kolor-do-wyboru.jpg,730.00,Lampa wisząca HATELLA Italux PND-112038-3A  kolor do wyboru
19,lampy-wiszace,"<p><strong>Producent: </strong><a href=""https://www.cudownelampy.pl/nowodvorski-(technolux).html"" title=""Nowodvorski"">Nowodvorski</a></p><p><strong>Wykonanie:</strong> stal lakierowana, abażur, szkło</p>
<p><strong>Źródło światła:</strong> 6 x E27 max 60W - nie w komplecie</p>
<p>Klasa energetyczna: E - A++</p>
<p><strong>Wymiary:</strong></p>
<p>Wysokość: 70 cm</p>
<p>Szerokość: 156 cm</p>
<p>Średnica klosza: 42 cm</p>
<p>W ofercie CudowneLampy.pl znajdziecie Państwo <a href=""lampy-wiszace.html"">nowoczesne lampy</a>, najmodniejsze wzory i nakorzystniejsze ceny!</p>",https://www.cudownelampy.pl/files/lampa-wiszaca-hawk-gray-nowodvorski-6541.jpg,689.00,Lampa wisząca HAWK GRAY Nowodvorski 6541
